"","P02004.LIF14","P02005.LIF16","P02008.LIF09"
"Pdpr",432.986917579236,270.309889062509,1038.91855444329
"9430091E24Rik",791.193578604275,736.689627233739,1275.64837624408
"Glg1",5025.9718108771,3887.1323483496,9951.62805390059
"Rfwd3",3994.74284086429,4726.61587705781,8063.39919091133
"Mlkl",36.0053087112797,51.3969507372376,38.1460376361466
"Fa2h",11.0785565265476,2.85538615206876,38.1460376361466
"Wdr59",1356.1999614582,1197.35859310083,2418.90756304506
"Znrf1",973.989761292311,983.204631695675,2178.81191439402
"Ldhd",94.1677304756547,72.3364491857418,393.801741479042
"Zfp1",1397.74454843276,1540.9567267331,911.017134133853
"Ctrb1",30.4660304480059,7.61436307218335,12.3413651175768
"Bcar1",2805.64444034818,4482.00446336392,2110.37343510564
"Cfdp1",5336.17139362043,6198.09154075724,7179.30867157947
"Tmem170",952.755861283095,1022.22824244061,1460.76885300773
"Chst5",68.3177652470436,124.685195307002,49.3654604703073
"Tmem231",1636.85672679741,906.109205589818,1697.49867480852
"Gabarapl2",2092.92397047362,1784.61634504297,3029.2441652234
"Adat1",935.214813449394,1492.41516214794,2085.69070487048
"Kars",8522.17960804675,10994.1884808487,11694.0044200458
"Terf2ip",729.338304664385,864.23020869281,596.873294777352
"Gm3635",44.3142261061904,59.0113138094209,33.6582685024823
"Cntnap4",131.096252230813,157.998033747804,83.0237289727896
"Gm45904",58.162421764375,67.5774722656272,104.340632357695
"Mon1b",266.808569681022,316.947862879632,203.07155329831
"Syce1l",4.61606521939484,1.90359076804584,11.2194228341608
"Adamts18",6.46249130715277,3.80718153609167,8.9755382673286
"Nudt7",102.476647870565,104.697492242521,93.1212095235342
"Vat1l",39.6981608867956,97.0831291703377,60.5848833044681
"Wwox",569.622448073323,424.500741274222,1277.89226081091
"Maf",2.7696391316369,0.951795384022918,4.4877691336643
"Gm45733",268.65499576878,255.081162918142,309.656070222837
"Gm5357",164.331921810456,227.479096781477,148.096381410922
"Cdyl2",1419.90166148585,932.75947634246,4635.86551507522
"Cmc2",309.276369699454,447.343830490772,367.997068960473
"Cenpn",1313.73216143977,1275.40581459071,3755.1408225936
"Atmin",3385.42223190417,3214.2130118454,3167.24306608358
"1700030J22Rik",140.328382669603,128.492376843094,105.462574641111
"Gcsh",3284.79201012137,3579.7024393102,4128.74760297116
"Pkd1l2",163.408708766577,100.890310706429,122.291708892352
"Bco1",14.7714087020635,3.80718153609167,6.73165370049645
"Gan",1367.27851798475,1188.79243464463,963.748421454409
"Cmip",2464.97882715684,1194.50320694876,5506.4927270061
"Plcg2",4343.71737145054,2572.70292301395,1995.9353221972
"Sdr42e1",55.3927826327381,87.5651753301085,8.9755382673286
"Hsd17b2",11.0785565265476,16.1805215283896,6.73165370049645
"Mphosph6",1230.64298749066,1363.92278530484,2128.32451164029
"Cdh13",133.86589136245,200.828826028836,200.827668731477
"Hsbp1",1678.40131377196,1693.24398817677,3425.28979126928
"Gm45723",0.923213043878968,0.951795384022918,2.24388456683215
"Mlycd",215.108639223799,132.299558379186,314.143839356501
"Osgin1",27.696391316369,14.2769307603438,16.8291342512411
